date,close,volume,open,high,low,Source
05/26/2020,$196.06,"5,971,201",$185.63,$197.10,$185.22,NASDAQ
05/22/2020,$179.93,"2,176,407",$180.03,$180.64,$178.06,NASDAQ
05/21/2020,$180.10,"2,153,769",$180.20,$181.17,$177.68,NASDAQ
05/20/2020,$181.44,"2,599,855",$180.95,$183.83,$180.30,NASDAQ
05/19/2020,$177.83,"2,210,480",$180.56,$182.185,$177.72,NASDAQ
05/18/2020,$181.88,"4,512,571",$177.71,$183.10,$175.24,NASDAQ
05/15/2020,$171.87,"2,867,769",$173.48,$174.09,$170.58,NASDAQ
05/14/2020,$174.45,"4,176,657",$169.04,$174.78,$165.36,NASDAQ
05/13/2020,$171.80,"3,445,251",$175.66,$176.88,$170.76,NASDAQ
05/12/2020,$177.21,"3,549,190",$183.89,$184.30,$176.75,NASDAQ
05/11/2020,$183.16,"2,212,324",$182.54,$184.85,$181.26,NASDAQ
05/08/2020,$185.39,"2,282,566",$185.03,$185.91,$182.74,NASDAQ
05/07/2020,$182.32,"2,480,533",$179.18,$183.38,$179.18,NASDAQ
05/06/2020,$176.92,"2,408,676",$179.68,$181.20,$175.2115,NASDAQ
05/05/2020,$178.30,"3,272,990",$179.10,$182.60,$178.14,NASDAQ
05/04/2020,$176.03,"2,990,142",$175.00,$176.31,$171.72,NASDAQ
05/01/2020,$177.10,"2,650,183",$179.00,$179.595,$176.65,NASDAQ
04/30/2020,$183.42,"2,695,447",$186.00,$187.55,$182.8999,NASDAQ
04/29/2020,$190.03,"3,086,258",$192.61,$193.72,$189.57,NASDAQ
04/28/2020,$187.01,"3,344,730",$189.16,$190.42,$184.87,NASDAQ
04/27/2020,$183.54,"2,743,124",$179.10,$184.25,$178.72,NASDAQ
04/24/2020,$177.00,"2,024,646",$177.00,$177.95,$173.49,NASDAQ
04/23/2020,$175.05,"2,013,306",$177.00,$179.07,$174.45,NASDAQ
04/22/2020,$175.98,"2,316,558",$177.50,$178.18,$174.47,NASDAQ
04/21/2020,$173.81,"3,818,970",$175.44,$179.20,$173.66,NASDAQ
04/20/2020,$180.40,"4,674,763",$179.70,$186.32,$178.0221,NASDAQ
04/17/2020,$183.49,"5,426,703",$183.49,$185.28,$178.29,NASDAQ
04/16/2020,$177.04,"4,662,186",$177.22,$178.44,$172.39,NASDAQ
04/15/2020,$178.52,"6,042,720",$170.63,$181.68,$169.15,NASDAQ
04/14/2020,$178.23,"4,149,605",$182.35,$183.38,$174.543,NASDAQ
04/13/2020,$179.18,"4,774,325",$183.85,$184.97,$179.13,NASDAQ
04/09/2020,$184.26,"6,449,870",$180.58,$187.328,$179.77,NASDAQ
04/08/2020,$176.96,"5,194,782",$168.55,$178.0974,$168.55,NASDAQ
04/07/2020,$166.02,"4,953,506",$166.00,$169.1388,$162.45,NASDAQ
04/06/2020,$158.23,"4,689,431",$155.47,$158.93,$153.77,NASDAQ
04/03/2020,$146.93,"2,801,582",$149.20,$150.9195,$145.23,NASDAQ
04/02/2020,$149.93,"4,446,911",$143.02,$150.453,$141.67,NASDAQ
04/01/2020,$145.29,"4,689,124",$146.10,$149.57,$145.00,NASDAQ
03/31/2020,$154.59,"3,589,699",$158.13,$161.10,$153.72,NASDAQ
03/30/2020,$159.62,"4,152,809",$158.52,$160.43,$153.18,NASDAQ
03/27/2020,$158.34,"4,186,742",$159.08,$163.73,$157.00,NASDAQ
03/26/2020,$165.79,"6,790,307",$156.37,$167.66,$154.31,NASDAQ
03/25/2020,$155.13,"8,587,796",$154.60,$162.21,$145.32,NASDAQ
03/24/2020,$153.60,"6,647,422",$144.32,$153.90,$143.63,NASDAQ
03/23/2020,$134.97,"5,472,629",$136.03,$141.935,$133.26,NASDAQ
03/20/2020,$138.41,"7,561,254",$148.99,$149.19,$138.29,NASDAQ
03/19/2020,$149.49,"6,548,186",$137.38,$152.49,$130.85,NASDAQ
03/18/2020,$140.02,"9,543,242",$150.00,$155.97,$135.41,NASDAQ
03/17/2020,$158.67,"6,876,285",$157.00,$166.74,$150.00,NASDAQ
03/16/2020,$154.66,"6,888,003",$150.23,$169.54,$150.00,NASDAQ
03/13/2020,$177.17,"6,368,355",$162.82,$177.56,$152.35,NASDAQ
03/12/2020,$150.68,"8,357,743",$160.00,$166.745,$150.00,NASDAQ
03/11/2020,$171.89,"5,316,998",$178.48,$180.77,$170.97,NASDAQ
03/10/2020,$184.35,"6,803,867",$181.62,$185.395,$173.285,NASDAQ
03/09/2020,$172.81,"6,443,000",$173.58,$179.25,$170.16,NASDAQ
03/06/2020,$192.85,"5,071,909",$190.68,$196.30,$189.28,NASDAQ
03/05/2020,$198.79,"4,151,707",$201.33,$203.465,$196.95,NASDAQ
03/04/2020,$208.74,"3,520,352",$205.84,$208.92,$202.70,NASDAQ
03/03/2020,$203.43,"5,677,200",$209.00,$211.79,$202.12,NASDAQ
03/02/2020,$209.47,"5,285,526",$201.41,$209.62,$197.63,NASDAQ
02/28/2020,$200.77,"6,740,665",$199.09,$202.245,$194.85,NASDAQ
02/27/2020,$205.69,"5,848,188",$210.49,$213.48,$205.37,NASDAQ
02/26/2020,$215.78,"4,172,156",$218.70,$220.00,$214.76,NASDAQ
02/25/2020,$217.61,"5,343,512",$224.78,$225.87,$215.89,NASDAQ
02/24/2020,$224.54,"4,139,814",$223.23,$226.69,$222.54,NASDAQ
02/21/2020,$230.62,"3,082,273",$230.91,$231.7994,$228.37,NASDAQ
02/20/2020,$232.73,"3,183,748",$236.41,$236.90,$231.25,NASDAQ
02/19/2020,$237.33,"2,207,061",$235.00,$237.80,$233.28,NASDAQ
02/18/2020,$233.21,"2,737,383",$236.55,$237.07,$231.20,NASDAQ
02/14/2020,$237.08,"1,718,742",$237.94,$239.01,$236.23,NASDAQ
02/13/2020,$238.35,"1,461,372",$237.85,$238.97,$236.57,NASDAQ
02/12/2020,$238.65,"2,119,549",$238.01,$241.18,$237.72,NASDAQ
02/11/2020,$236.46,"2,238,902",$239.00,$239.55,$236.22,NASDAQ
02/10/2020,$237.36,"2,591,280",$237.40,$237.87,$235.4556,NASDAQ
02/07/2020,$238.00,"3,006,894",$239.75,$240.52,$236.55,NASDAQ
02/06/2020,$241.82,"2,225,886",$245.35,$245.77,$241.18,NASDAQ
02/05/2020,$244.30,"3,126,622",$244.99,$245.13,$243.00,NASDAQ
02/04/2020,$241.94,"3,052,654",$242.88,$243.74,$241.55,NASDAQ
